source,reference
_AG,"Appl. Geochem."
_AJS,"Am. J. Sci."
_CG,"Chem. Geol."
_EG,"Econ. Geol."
_GCA,"Geochim. Cosmochim. Acta"
_GI,"Geochem. Int."
_JCSFT,"J. Chem. Soc., Faraday Trans."
_JCT,"J. Chem. Thermodynamics"
_JPCRD,"J. Phys. Chem. Ref. Data"
_NAR,"Nucleic Acids Res."
_RiMG,"Rev. Mineral. Geochem."
_TA,"Thermochim. Acta"
_USBM,"U. S. Bureau of Mines"
_USGS,"U. S. Geological Survey"
AAD+01,"H. Alexandre, V. Ansanay-Galeote et al., FEBS Lett., 498, 98-103, 2001"
AH97a,"J. P. Amend and H. C. Helgeson, GCA 61, 11-46, 1997"
AH97b,"J. P. Amend and H. C. Helgeson, JCSFT 93, 1927-1941, 1997"
AP01,"J. P. Amend and A. V. Plyasunov, GCA 65, 3901-3917, 2001"
APW+05,"J. Aguilera, T. Petit et al., FEMS Yeast Res., 5, 579-593, 2001"
AS01,"J. P. Amend and E. L. Shock, FEMS Microbiol. Rev., 25, 175-243, 2001"
AVZP06,"N. N. Akinfiev, M. V. Voronin et al., GI 44, 867-878, 2006"
AZ01,"N. N. Akinfiev and A. V. Zotov, GI 39, 990-1006, 2001"
AZ99,"N. Akinfiev and A. Zotov, GCA 63, 2025-2041, 1999"
BBA+03,"B. Boeckmann, A. Bairoch et al., NAR 31, 365-370, 2003"
BDP+97,"P. Benezeth, I. I. Diakonov et al., GCA 61, 13451357, 1997"
BH83a,"T. S. Bowers and H. C. Helgeson, GCA 47, 1247-1275, 1983"
BWP+03,"V. M. Boer, J. H. de Winde et al., J. Biol. Chem., 278, 3265-3274, 2003"
CHNOSZ,"J. M. Dick, CHNOSZ Program Documentation, unpub., 2007"
CSM+07,"M. Censky, J. Sedlbauer et al., GCA 71, 580-603, 2007"
CWM89,"J. D. Cox, D. D. Wagman and V. A. Medvedev, eds. CODATA Key Values for Thermodynamics, 1989"
Dic07,"J. M. Dick, Ph.D. Dissertation, 2007"
DLH06,"J. M. Dick, D. E. LaRowe and H. C. Helgeson, Biogeosciences 3, 311-336, 2006"
DPB+97,"I. I. Diakonov, G. S. Pokrovski et al., GCA 61, 1333-1343, 1997"
DPS+96,"I. Diakonov, G. Pokrovski et al., GCA 60, 197-211, 1996"
DRT98,"I. I. Diakonov, K. V. Ragnarsdottir and B. R. Tagirov, CG 151, 327-347, 1998"
DSM+97,"J. D. Dale, E. L. Shock et al., GCA 61, 4017-4024, 1997"
DSM+99,"I. I. Diakonov, J. Schott et al., GCA 63, 2247-2261, 1999"
FDK+04,"P. M. B. Fernandes, T. Domitrovic et al., FEBS Lett., 556, 153-160, 2004"
GLL+98,"C. Godon, G. Lagniel et al., J. Biol. Chem., 273, 22480-22489, 1998"
Gur96,"S. Gurrieri, pers. comm., 1996"
HDN+78,"H. C. Helgeson, J. M. Delany et al., AJS 278A, 1-229, 1978"
Hel85b,"H. C. Helgeson, AJS 285, 845-855, 1985"
